2024-06-01 21:32:36,500.hm_producer.INFO ==================================================
2024-06-01 21:32:36,500.hm_producer.INFO Today is 2024-06-01 at 09:32 PM
2024-06-01 21:32:36,501.hm_producer.INFO Running on: nt Windows 10
2024-06-01 21:32:36,502.hm_producer.INFO Python version:  3.10.9
2024-06-01 21:32:36,502.hm_producer.INFO Python path: C:\Users\Hayley\anaconda3
2024-06-01 21:32:36,503.hm_producer.INFO Working dir: C:\Users\Hayley\Documents\streaming-05-smart-smoker
2024-06-01 21:32:36,503.hm_producer.INFO ==================================================
2024-06-01 21:32:39,740.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:20:15', 84.2)
2024-06-01 21:32:39,775.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:20:20', 84.2)
2024-06-01 21:32:39,819.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:21:10', 87.6)
2024-06-01 21:32:39,860.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:21:15', 87.6)
2024-06-01 21:32:39,903.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:22:10', 86.3)
2024-06-01 21:32:39,943.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:22:15', 86.3)
2024-06-01 21:32:39,982.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:23:10', 92.0)
2024-06-01 21:32:40,030.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:23:15', 92.0)
2024-06-01 21:32:40,066.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:24:10', 96.8)
2024-06-01 21:32:40,102.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:24:15', 96.8)
2024-06-01 21:32:40,141.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:25:05', 100.6)
2024-06-01 21:32:40,166.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:25:10', 100.9)
2024-06-01 21:32:40,193.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:25:15', 100.9)
2024-06-01 21:32:40,216.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:26:10', 104.8)
2024-06-01 21:32:40,250.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:26:15', 104.8)
2024-06-01 21:32:40,281.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:27:10', 108.2)
2024-06-01 21:32:40,314.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:27:15', 108.2)
2024-06-01 21:32:40,353.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:28:10', 111.4)
2024-06-01 21:32:40,390.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:28:15', 111.4)
2024-06-01 21:32:40,427.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:29:10', 114.2)
2024-06-01 21:32:40,463.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:29:15', 114.2)
2024-06-01 21:32:40,499.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:30:10', 116.9)
2024-06-01 21:32:40,543.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:30:15', 116.9)
2024-06-01 21:32:40,570.hm_producer.INFO Sent message to 01-smoker: ('05/22/21 12:31:10', 119.4)
